amd,rcm,padding,matrix_name,partial_gauss,_step,n,rank,_runtime,max_mode_size,z,tile_size,_timestamp,run_id,run_name
False,False,10,ex15,2,1.0,6875.0,4721.0,2.4888134002685547,11.0,98647.0,11.0,1718227819.2832725,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,2.0,6875.0,1903.0,2.7400310039520264,25.0,98647.0,25.0,1718227819.53449,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,3.0,6875.0,619.0,2.896280527114868,55.0,98647.0,55.0,1718227819.6907396,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,4.0,6875.0,163.0,3.0212838649749756,125.0,98647.0,125.0,1718227819.815743,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,5.0,6875.0,73.0,3.1466386318206787,275.0,98647.0,275.0,1718227819.9410977,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,6.0,6875.0,31.0,3.2716426849365234,625.0,98647.0,625.0,1718227820.0661018,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,7.0,6875.0,13.0,3.460357427597046,1375.0,98647.0,1375.0,1718227820.2548165,n4iaa0us,sparkling-sweep-2404
False,False,10,ex15,2,8.0,6875.0,1.0,3.6634507179260254,6875.0,98647.0,6875.0,1718227820.4579098,n4iaa0us,sparkling-sweep-2404
False,True,10,ex15,2,0.0,6875.0,33717.0,2.3304412364959717,11.0,98647.0,5.0,1718227808.9001722,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,1.0,6875.0,12057.0,2.6755599975585938,11.0,98647.0,11.0,1718227809.245291,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,2.0,6875.0,4643.0,2.953465461730957,25.0,98647.0,25.0,1718227809.5231965,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,3.0,6875.0,1623.0,3.1409614086151123,55.0,98647.0,55.0,1718227809.7106924,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,4.0,6875.0,379.0,3.2659618854522705,125.0,98647.0,125.0,1718227809.835693,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,5.0,6875.0,97.0,3.39096736907959,275.0,98647.0,275.0,1718227809.9606984,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,6.0,6875.0,35.0,3.531623601913452,625.0,98647.0,625.0,1718227810.1013546,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,7.0,6875.0,15.0,3.719088315963745,1375.0,98647.0,1375.0,1718227810.2888193,3oo6px3i,valiant-sweep-2403
False,True,10,ex15,2,8.0,6875.0,1.0,3.93784499168396,6875.0,98647.0,6875.0,1718227810.507576,3oo6px3i,valiant-sweep-2403
False,False,10,ex15,1,0.0,6876.0,47717.0,3.017456293106079,191.0,98660.0,2.0,1718227793.4860852,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,1.0,6876.0,33273.0,4.081183195114136,191.0,98660.0,3.0,1718227794.549812,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,2.0,6876.0,16271.0,4.9093029499053955,191.0,98660.0,4.0,1718227795.3779318,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,3.0,6876.0,12287.0,5.612433910369873,191.0,98660.0,6.0,1718227796.0810628,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,4.0,6876.0,6821.0,6.004271984100342,191.0,98660.0,9.0,1718227796.4729009,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,5.0,6876.0,5065.0,6.285521984100342,191.0,98660.0,12.0,1718227796.7541509,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,6.0,6876.0,2656.0,6.4886462688446045,191.0,98660.0,18.0,1718227796.9572752,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,7.0,6876.0,949.0,6.692133665084839,191.0,98660.0,36.0,1718227797.1607625,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,8.0,6876.0,106.0,6.801511764526367,191.0,98660.0,191.0,1718227797.2701406,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,9.0,6876.0,52.0,6.9265429973602295,382.0,98660.0,382.0,1718227797.3951719,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,10.0,6876.0,34.0,7.035921573638916,573.0,98660.0,573.0,1718227797.5045505,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,11.0,6876.0,25.0,7.1765456199646,764.0,98660.0,764.0,1718227797.6451745,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,12.0,6876.0,16.0,7.364043712615967,1146.0,98660.0,1146.0,1718227797.8326726,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,13.0,6876.0,10.0,7.567167282104492,1719.0,98660.0,1719.0,1718227798.0357962,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,14.0,6876.0,7.0,7.770308256149292,2292.0,98660.0,2292.0,1718227798.2389371,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,15.0,6876.0,4.0,7.973419666290283,3438.0,98660.0,3438.0,1718227798.4420485,qflccsl2,restful-sweep-2402
False,False,10,ex15,1,16.0,6876.0,1.0,8.176515579223633,6876.0,98660.0,6876.0,1718227798.6451445,qflccsl2,restful-sweep-2402
False,True,10,ex15,1,0.0,6876.0,80269.0,3.3478341102600098,191.0,98660.0,2.0,1718227777.528403,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,1.0,6876.0,62893.0,4.520906925201416,191.0,98660.0,3.0,1718227778.7014759,k1pcbozz,ruby-sweep-2401
False,True,10,ex15,1,2.0,6876.0,43729.0,5.414011240005493,191.0,98660.0,4.0,1718227779.5945802,k1pcbozz,ruby-sweep-2401
